feature,importance
term,0.1498733
fico_score,0.051300824
llm_income_confidence,0.04074651
home_ownership,0.039972596
verification_status,0.03952376
llm_urgency_flag,0.039465632
credit_age_proxy,0.03292512
loan_to_income,0.032603443
llm_repayment_intent_score,0.032100495
purpose,0.029393854
inq_last_6mths,0.028042985
fico_dti_ratio,0.02765826
log_revol_bal,0.027226027
total_acc,0.026254611
dti,0.026142105
revol_bal,0.025758743
annual_inc,0.025439333
open_acc,0.0251191
loan_amnt,0.024996761
emp_length,0.024350872
llm_debt_stress_signal,0.024311297
llm_purpose_clarity,0.024015918
revol_util,0.023950776
llm_future_orientation,0.02365998
log_annual_inc,0.023394171
addr_state,0.023297481
llm_employment_stability,0.022739286
llm_financial_literacy_signal,0.02270521
delinq_pub_sum,0.022151006
delinq_2yrs,0.020805938
pub_rec,0.020074563
