feature,mean_abs_shap,type
term,0.3325431,Structured
fico_score,0.20045306,Structured
llm_urgency_flag,0.18929273,LLM
home_ownership,0.16308573,Structured
credit_age_proxy,0.13282211,Structured
loan_to_income,0.119050294,Structured
llm_income_confidence,0.10608258,LLM
revol_bal,0.10339726,Structured
verification_status,0.08595555,Structured
addr_state,0.08083412,Structured
open_acc,0.07519916,Structured
llm_repayment_intent_score,0.07249292,LLM
emp_length,0.0681213,Structured
llm_financial_literacy_signal,0.065122694,LLM
purpose,0.062381018,Structured
loan_amnt,0.06167721,Structured
llm_employment_stability,0.056652177,LLM
llm_purpose_clarity,0.056485508,LLM
fico_dti_ratio,0.05559145,Structured
llm_debt_stress_signal,0.04939891,LLM
dti,0.048554372,Structured
annual_inc,0.046735868,Structured
total_acc,0.046167206,Structured
llm_future_orientation,0.04571244,LLM
revol_util,0.040200792,Structured
inq_last_6mths,0.036258698,Structured
log_revol_bal,0.02295427,Structured
delinq_pub_sum,0.01868094,Structured
log_annual_inc,0.017287191,Structured
pub_rec,0.00462895,Structured
delinq_2yrs,0.0024150757,Structured
